airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Jet Airways,2019-05-24,Delhi,Cochin,23:05:00,04:25:00,1760,2.0,No Info,16704
Jet Airways,2019-06-06,Delhi,Cochin,13:00:00,19:00:00,360,1.0,In-flight meal not included,10262
Multiple Carriers,2019-06-06,Delhi,Cochin,12:50:00,01:30:00,760,1.0,No Info,6795
Spicejet,2019-05-15,Kolkata,Banglore,08:35:00,17:15:00,520,1.0,No Info,6381
Multiple Carriers,2019-05-15,Delhi,Cochin,11:40:00,19:00:00,440,1.0,No Info,10529
Indigo,2019-06-09,Kolkata,Banglore,22:15:00,00:50:00,155,0.0,No Info,5224
Jet Airways,2019-03-09,Delhi,Cochin,02:15:00,04:25:00,1570,1.0,No Info,15029
Air India,2019-06-27,Delhi,Cochin,17:15:00,07:40:00,865,2.0,No Info,13039
Jet Airways,2019-06-01,Delhi,Cochin,13:00:00,19:00:00,360,1.0,In-flight meal not included,10262
Multiple Carriers,2019-06-15,Delhi,Cochin,11:30:00,21:00:00,570,1.0,No Info,13587
Indigo,2019-04-21,Delhi,Cochin,02:00:00,07:45:00,345,1.0,No Info,6258
Multiple Carriers,2019-03-21,Delhi,Cochin,08:00:00,19:15:00,675,1.0,No Info,13378
Air India,2019-06-12,Delhi,Cochin,16:40:00,19:15:00,1595,2.0,No Info,9443
Indigo,2019-04-12,Kolkata,Banglore,09:35:00,12:20:00,165,0.0,No Info,4174
Jet Airways,2019-03-06,Delhi,Cochin,18:15:00,04:25:00,610,1.0,No Info,17024
Spicejet,2019-05-06,Kolkata,Banglore,11:35:00,18:50:00,435,1.0,No Info,8479
Goair,2019-03-24,Kolkata,Banglore,16:25:00,00:05:00,460,1.0,No Info,10198
Indigo,2019-06-01,Delhi,Cochin,02:00:00,07:25:00,325,1.0,No Info,5636
Indigo,2019-03-09,Delhi,Cochin,08:35:00,21:20:00,765,2.0,No Info,8146
Air India,2019-04-27,Delhi,Cochin,14:10:00,17:10:00,180,0.0,No Info,6094
Indigo,2019-06-09,Banglore,Delhi,01:30:00,04:15:00,165,0.0,No Info,4077
Jet Airways,2019-06-27,Delhi,Cochin,21:25:00,19:00:00,1295,2.0,No Info,13292
Air Asia,2019-06-09,Kolkata,Banglore,15:10:00,23:30:00,500,2.0,No Info,7870
Indigo,2019-05-12,Kolkata,Banglore,18:05:00,23:30:00,325,1.0,No Info,6218
Indigo,2019-05-21,Kolkata,Banglore,17:15:00,19:50:00,155,0.0,No Info,4804
Jet Airways,2019-05-15,Kolkata,Banglore,08:25:00,20:45:00,740,1.0,In-flight meal not included,10844
Air India,2019-04-15,Banglore,Delhi,21:05:00,23:55:00,170,0.0,No Info,5228
Spicejet,2019-05-18,Mumbai,Hyderabad,05:45:00,07:15:00,90,0.0,No check-in baggage included,1965
Indigo,2019-03-15,Mumbai,Hyderabad,20:05:00,21:35:00,90,0.0,No Info,2754
Multiple Carriers,2019-06-24,Delhi,Cochin,17:30:00,01:30:00,480,1.0,No Info,13377
Air India,2019-03-21,Banglore,New Delhi,11:50:00,19:50:00,480,1.0,No Info,5932
Jet Airways,2019-05-21,Delhi,Cochin,02:15:00,04:25:00,1570,1.0,In-flight meal not included,12898
Air India,2019-05-09,Delhi,Cochin,12:30:00,09:25:00,1255,1.0,No Info,7480
Air India,2019-03-18,Banglore,New Delhi,17:25:00,23:25:00,1800,2.0,No Info,11518
Indigo,2019-04-15,Banglore,Delhi,13:00:00,15:50:00,170,0.0,No Info,4591
Vistara,2019-05-21,Kolkata,Banglore,07:10:00,10:45:00,1655,1.0,No Info,9187
Indigo,2019-04-09,Kolkata,Banglore,22:15:00,00:50:00,155,0.0,No Info,4174
Multiple Carriers,2019-05-27,Delhi,Cochin,06:40:00,19:15:00,755,1.0,No Info,8837
Jet Airways,2019-06-21,Banglore,Delhi,11:10:00,14:05:00,175,0.0,In-flight meal not included,5769
Jet Airways,2019-06-09,Kolkata,Banglore,18:55:00,12:00:00,1025,1.0,No Info,14571
Air India,2019-06-09,Banglore,Delhi,06:10:00,08:55:00,165,0.0,No Info,6961
Air India,2019-04-18,Banglore,Delhi,17:00:00,19:45:00,165,0.0,No Info,6121
Multiple Carriers,2019-06-01,Delhi,Cochin,18:00:00,01:30:00,450,1.0,No Info,7933
Indigo,2019-03-03,Delhi,Cochin,02:00:00,07:45:00,345,1.0,No Info,9257
Jet Airways,2019-06-27,Delhi,Cochin,13:00:00,19:00:00,360,1.0,In-flight meal not included,10262
Indigo,2019-05-03,Banglore,Delhi,16:55:00,19:55:00,180,0.0,No Info,4823
Jet Airways,2019-06-06,Kolkata,Banglore,10:20:00,17:35:00,435,1.0,No Info,11316
Vistara,2019-04-01,Kolkata,Banglore,17:00:00,10:45:00,1065,1.0,No Info,9187
Indigo,2019-04-12,Kolkata,Banglore,20:20:00,22:55:00,155,0.0,No Info,4488
Jet Airways,2019-06-03,Banglore,Delhi,07:10:00,10:10:00,180,0.0,In-flight meal not included,5769
Goair,2019-06-06,Banglore,Delhi,11:40:00,14:30:00,170,0.0,No Info,3898
Air Asia,2019-05-27,Banglore,Delhi,11:10:00,13:55:00,165,0.0,No Info,3383
Vistara,2019-06-09,Kolkata,Banglore,20:20:00,23:25:00,1625,1.0,No Info,8085
Indigo,2019-06-27,Delhi,Cochin,17:30:00,01:30:00,480,1.0,No Info,5684
Jet Airways,2019-03-06,Banglore,New Delhi,11:40:00,09:00:00,1280,1.0,No Info,17261
Jet Airways,2019-05-18,Delhi,Cochin,22:50:00,04:25:00,335,1.0,In-flight meal not included,12373
Multiple Carriers,2019-06-09,Delhi,Cochin,11:35:00,01:30:00,835,3.0,No Info,15419
Jet Airways,2019-05-06,Kolkata,Banglore,20:00:00,08:15:00,735,1.0,In-flight meal not included,9663
Multiple Carriers,2019-03-21,Delhi,Cochin,10:20:00,01:35:00,915,1.0,No Info,7695
Goair,2019-04-06,Banglore,Delhi,07:45:00,10:40:00,175,0.0,No Info,4632
Jet Airways,2019-06-03,Delhi,Cochin,17:30:00,19:00:00,1530,1.0,No Info,14714
Jet Airways,2019-05-09,Kolkata,Banglore,21:10:00,10:05:00,775,1.0,No Info,14388
Air India,2019-06-06,Delhi,Cochin,12:00:00,19:15:00,435,2.0,No Info,8603
Jet Airways,2019-03-03,Delhi,Cochin,08:00:00,18:50:00,650,1.0,No Info,17024
Air India,2019-04-01,Delhi,Cochin,17:20:00,09:25:00,965,1.0,No Info,5117
Jet Airways,2019-03-21,Delhi,Cochin,22:00:00,18:50:00,1250,1.0,In-flight meal not included,6017
Spicejet,2019-04-18,Kolkata,Banglore,17:10:00,19:40:00,150,0.0,No Info,4174
Multiple Carriers,2019-05-18,Delhi,Cochin,07:30:00,19:15:00,705,1.0,No Info,7564
Air India,2019-06-24,Delhi,Cochin,13:15:00,07:40:00,1105,2.0,No Info,12497
Jet Airways,2019-06-01,Delhi,Cochin,18:25:00,04:25:00,600,2.0,No Info,14237
Jet Airways,2019-04-24,Banglore,Delhi,17:45:00,20:45:00,180,0.0,In-flight meal not included,4544
Vistara,2019-05-03,Banglore,Delhi,17:00:00,19:35:00,155,0.0,No Info,5613
Multiple Carriers,2019-05-15,Delhi,Cochin,16:00:00,01:30:00,570,1.0,No Info,13727
Jet Airways,2019-05-15,Kolkata,Banglore,20:00:00,08:15:00,735,1.0,No Info,13941
Indigo,2019-05-21,Delhi,Cochin,10:35:00,01:30:00,895,1.0,No Info,6794
Jet Airways,2019-06-06,Kolkata,Banglore,17:00:00,09:45:00,1005,1.0,No Info,12692
Jet Airways,2019-06-09,Kolkata,Banglore,06:30:00,12:00:00,330,1.0,In-flight meal not included,10844
Air India,2019-04-12,Banglore,Delhi,13:20:00,16:10:00,170,0.0,No Info,5911
Indigo,2019-05-03,Banglore,Delhi,07:10:00,10:05:00,175,0.0,No Info,4823
Jet Airways,2019-05-09,Kolkata,Banglore,16:30:00,08:15:00,945,1.0,No Info,13941
Air India,2019-05-09,Kolkata,Banglore,10:00:00,23:15:00,795,1.0,No Info,10203
Indigo,2019-03-27,Delhi,Cochin,06:40:00,15:30:00,530,1.0,No Info,8574
Multiple Carriers,2019-03-03,Delhi,Cochin,07:10:00,21:20:00,850,2.0,In-flight meal not included,8938
Jet Airways,2019-04-01,Kolkata,Banglore,16:30:00,20:45:00,1695,1.0,No Info,12681
Indigo,2019-03-21,Delhi,Cochin,09:10:00,21:00:00,710,1.0,No Info,8285
Spicejet,2019-06-01,Mumbai,Hyderabad,13:15:00,14:45:00,90,0.0,No check-in baggage included,2175
Indigo,2019-04-06,Banglore,Delhi,18:55:00,21:50:00,175,0.0,No Info,4823
Jet Airways,2019-03-27,Delhi,Cochin,19:10:00,19:45:00,1475,2.0,In-flight meal not included,8834
Jet Airways,2019-06-01,Delhi,Cochin,14:00:00,04:25:00,865,1.0,No Info,14714
Air India,2019-05-09,Delhi,Cochin,13:20:00,07:40:00,1100,2.0,No Info,13538
Multiple Carriers,2019-06-03,Delhi,Cochin,07:05:00,19:15:00,730,1.0,No Info,15058
Indigo,2019-06-09,Delhi,Cochin,21:50:00,03:35:00,345,1.0,No Info,6195
Indigo,2019-03-03,Delhi,Cochin,08:25:00,21:00:00,755,1.0,No Info,14871
Jet Airways,2019-05-21,Kolkata,Banglore,14:05:00,23:35:00,570,1.0,No Info,14781
Air India,2019-05-12,Kolkata,Banglore,16:45:00,12:30:00,1185,2.0,No Info,14330
Jet Airways,2019-05-09,Kolkata,Banglore,08:25:00,20:45:00,740,1.0,No Info,14781
Air India,2019-06-18,Delhi,Cochin,14:05:00,17:55:00,230,0.0,No Info,5201
Jet Airways,2019-06-15,Delhi,Cochin,02:15:00,04:25:00,1570,1.0,In-flight meal not included,10262
Indigo,2019-05-12,Mumbai,Hyderabad,12:00:00,13:30:00,90,0.0,No Info,2754
Indigo,2019-04-21,Banglore,Delhi,10:10:00,13:00:00,170,0.0,No Info,4591
Jet Airways,2019-03-01,Banglore,New Delhi,16:55:00,10:25:00,1050,1.0,1 Long layover,25735
Air India,2019-06-09,Delhi,Cochin,05:55:00,07:40:00,1545,2.0,No Info,10493
Indigo,2019-06-09,Delhi,Cochin,06:40:00,21:00:00,860,1.0,No Info,6093
Jet Airways,2019-06-06,Banglore,Delhi,07:10:00,10:10:00,180,0.0,No Info,8016
Jet Airways,2019-05-09,Delhi,Cochin,20:55:00,19:00:00,1325,1.0,In-flight meal not included,12373
Indigo,2019-03-09,Banglore,New Delhi,23:30:00,02:20:00,170,0.0,No Info,5694
Spicejet,2019-03-24,Chennai,Kolkata,09:30:00,12:05:00,155,0.0,No Info,3859
Indigo,2019-05-09,Mumbai,Hyderabad,06:25:00,07:55:00,90,0.0,No Info,4049
Jet Airways,2019-03-15,Banglore,New Delhi,05:50:00,12:20:00,390,1.0,No Info,9623
Jet Airways,2019-05-24,Kolkata,Banglore,17:00:00,14:25:00,1285,1.0,No Info,12121
Spicejet,2019-04-27,Kolkata,Banglore,06:55:00,09:30:00,155,0.0,No check-in baggage included,3841
Goair,2019-04-09,Delhi,Cochin,07:25:00,13:20:00,355,1.0,No Info,4106
Jet Airways,2019-05-15,Kolkata,Banglore,09:35:00,23:35:00,840,1.0,No Info,14151
Jet Airways,2019-05-09,Kolkata,Banglore,06:30:00,19:50:00,800,1.0,In-flight meal not included,10844
Jet Airways,2019-03-15,Mumbai,Hyderabad,02:55:00,04:25:00,90,0.0,In-flight meal not included,2071
Multiple Carriers,2019-06-15,Delhi,Cochin,07:30:00,19:15:00,705,1.0,No Info,8614
Spicejet,2019-06-15,Chennai,Kolkata,09:45:00,12:00:00,135,0.0,No check-in baggage included,3543
Goair,2019-05-01,Banglore,Delhi,11:40:00,14:30:00,170,0.0,No Info,4340
Air India,2019-03-12,Banglore,New Delhi,17:25:00,18:05:00,1480,3.0,No Info,13387
Air India,2019-03-24,Kolkata,Banglore,09:50:00,23:15:00,2245,2.0,No Info,14410
Jet Airways,2019-03-21,Mumbai,Hyderabad,19:35:00,21:05:00,90,0.0,No Info,5678
Indigo,2019-06-01,Delhi,Cochin,08:30:00,21:00:00,750,1.0,No Info,6416
Jet Airways,2019-05-06,Kolkata,Banglore,16:30:00,20:45:00,1695,1.0,In-flight meal not included,9663
Indigo,2019-06-09,Delhi,Cochin,21:05:00,00:20:00,195,0.0,No Info,6015
Indigo,2019-06-15,Chennai,Kolkata,07:55:00,10:15:00,140,0.0,No Info,3850
Jet Airways,2019-06-09,Mumbai,Hyderabad,19:35:00,21:05:00,90,0.0,No Info,5678
Multiple Carriers,2019-05-21,Delhi,Cochin,10:00:00,19:00:00,540,1.0,No Info,10197
Multiple Carriers,2019-06-01,Delhi,Cochin,09:45:00,22:30:00,765,1.0,No Info,9646
Indigo,2019-05-15,Kolkata,Banglore,22:15:00,00:50:00,155,0.0,No Info,4804
Air Asia,2019-05-01,Banglore,Delhi,23:55:00,02:45:00,170,0.0,No Info,4483
Air India,2019-05-12,Mumbai,Hyderabad,19:30:00,20:45:00,75,0.0,No Info,3625
Jet Airways,2019-06-06,Kolkata,Banglore,20:25:00,09:45:00,800,1.0,No Info,12692
Jet Airways,2019-03-18,Banglore,New Delhi,16:55:00,08:15:00,920,1.0,No Info,13555
Jet Airways,2019-05-27,Delhi,Cochin,09:40:00,12:35:00,1615,2.0,No Info,15129
Jet Airways,2019-05-15,Kolkata,Banglore,08:25:00,20:45:00,740,1.0,No Info,14781
Goair,2019-06-15,Delhi,Cochin,10:35:00,19:35:00,540,1.0,No Info,4959
Multiple Carriers,2019-06-06,Delhi,Cochin,10:00:00,21:00:00,660,1.0,No Info,7933
Air India,2019-03-09,Banglore,New Delhi,10:30:00,21:25:00,655,2.0,No Info,9586
Air India,2019-03-18,Banglore,New Delhi,10:30:00,17:45:00,435,2.0,No Info,13261
Jet Airways,2019-03-12,Mumbai,Hyderabad,06:30:00,16:35:00,605,2.0,No Info,23528
Air India,2019-06-06,Delhi,Cochin,13:20:00,19:15:00,1795,2.0,No Info,12961
Multiple Carriers,2019-06-06,Delhi,Cochin,17:00:00,01:30:00,510,1.0,No Info,7198
Spicejet,2019-03-01,Chennai,Kolkata,09:30:00,12:05:00,155,0.0,No Info,7298
Spicejet,2019-06-01,Kolkata,Banglore,14:55:00,17:25:00,150,0.0,No check-in baggage included,3841
Jet Airways,2019-03-06,Delhi,Cochin,19:10:00,04:25:00,1995,2.0,No Info,20694
Jet Airways,2019-05-27,Delhi,Cochin,13:25:00,12:35:00,1390,2.0,No Info,15129
Jet Airways,2019-06-01,Delhi,Cochin,07:05:00,19:00:00,715,1.0,In-flight meal not included,15190
Spicejet,2019-03-27,Kolkata,Banglore,09:00:00,11:30:00,150,0.0,No Info,3847
Indigo,2019-05-24,Banglore,Delhi,22:10:00,01:00:00,170,0.0,No Info,3419
Multiple Carriers,2019-05-27,Delhi,Cochin,07:30:00,19:00:00,690,1.0,No Info,9315
Vistara,2019-06-06,Banglore,Delhi,07:00:00,09:40:00,160,0.0,No Info,4668
Air India,2019-04-01,Kolkata,Banglore,14:35:00,15:20:00,1485,1.0,No Info,5006
Air India,2019-05-15,Kolkata,Banglore,19:00:00,11:05:00,965,1.0,No Info,6117
Air India,2019-06-01,Delhi,Cochin,09:00:00,19:15:00,615,1.0,No Info,10454
Jet Airways,2019-04-01,Kolkata,Banglore,21:10:00,08:15:00,665,1.0,In-flight meal not included,8849
Indigo,2019-03-01,Banglore,New Delhi,10:05:00,13:00:00,175,0.0,No Info,10067
Jet Airways,2019-05-01,Kolkata,Banglore,18:55:00,04:40:00,585,1.0,In-flight meal not included,8586
Jet Airways,2019-05-15,Kolkata,Banglore,21:10:00,10:05:00,775,1.0,In-flight meal not included,11841
Jet Airways,2019-05-27,Banglore,Delhi,11:10:00,14:05:00,175,0.0,In-flight meal not included,4030
Jet Airways,2019-06-09,Kolkata,Banglore,18:55:00,20:45:00,1550,1.0,In-flight meal not included,10844
Multiple Carriers,2019-05-27,Delhi,Cochin,11:40:00,21:00:00,560,1.0,No Info,7005
Vistara,2019-06-12,Delhi,Cochin,14:40:00,17:50:00,190,0.0,No Info,6216
Jet Airways,2019-04-01,Delhi,Cochin,18:15:00,19:00:00,1485,1.0,In-flight meal not included,5406
Jet Airways,2019-06-12,Delhi,Cochin,14:35:00,12:35:00,1320,2.0,No Info,13376
Jet Airways,2019-05-21,Delhi,Cochin,19:45:00,04:25:00,520,1.0,In-flight meal not included,12898
Multiple Carriers,2019-06-12,Delhi,Cochin,09:15:00,19:00:00,585,1.0,No Info,11622
Jet Airways,2019-05-18,Kolkata,Banglore,17:00:00,14:25:00,1285,1.0,No Info,13067
Jet Airways,2019-03-12,Banglore,New Delhi,18:55:00,08:15:00,800,1.0,No Info,13817
Jet Airways,2019-05-15,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,In-flight meal not included,4995
Spicejet,2019-03-24,Banglore,New Delhi,20:30:00,23:20:00,170,0.0,No Info,5575
Jet Airways,2019-06-24,Delhi,Cochin,11:30:00,12:35:00,1505,1.0,In-flight meal not included,10262
Indigo,2019-06-27,Delhi,Cochin,02:00:00,07:25:00,325,1.0,No Info,5636
Air India,2019-03-03,Banglore,New Delhi,09:30:00,16:20:00,410,1.0,No Info,11654
Air Asia,2019-06-03,Delhi,Cochin,16:45:00,06:35:00,830,1.0,No Info,11410
Indigo,2019-04-21,Kolkata,Banglore,11:30:00,14:05:00,155,0.0,No Info,5644
Goair,2019-05-06,Kolkata,Banglore,23:30:00,07:45:00,495,1.0,No Info,7451
Goair,2019-06-03,Banglore,Delhi,11:40:00,14:30:00,170,0.0,No Info,3898
Indigo,2019-04-24,Kolkata,Banglore,19:35:00,00:10:00,275,1.0,No Info,4860
Jet Airways,2019-03-06,Mumbai,Hyderabad,14:20:00,16:50:00,1590,2.0,No Info,24115
Indigo,2019-06-03,Banglore,Delhi,07:10:00,10:05:00,175,0.0,No Info,4823
Air India,2019-05-15,Kolkata,Banglore,09:10:00,11:05:00,1555,2.0,No Info,6117
Air India,2019-03-01,Banglore,New Delhi,05:50:00,11:20:00,1770,4.0,Change airports,17686
Indigo,2019-03-24,Banglore,New Delhi,01:30:00,04:15:00,165,0.0,No Info,4238
Jet Airways,2019-05-24,Kolkata,Banglore,16:30:00,22:35:00,365,1.0,In-flight meal not included,10844
Air Asia,2019-03-09,Kolkata,Banglore,22:50:00,01:20:00,150,0.0,No Info,4384
Jet Airways,2019-05-27,Banglore,Delhi,17:45:00,20:45:00,180,0.0,No Info,7229
Air India,2019-05-27,Mumbai,Hyderabad,13:55:00,15:25:00,90,0.0,No Info,3625
Jet Airways,2019-05-09,Kolkata,Banglore,18:55:00,10:05:00,910,1.0,No Info,13941
Spicejet,2019-06-27,Kolkata,Banglore,17:10:00,19:40:00,150,0.0,No check-in baggage included,3841
Indigo,2019-05-18,Delhi,Cochin,16:00:00,21:00:00,300,1.0,No Info,6069
Multiple Carriers,2019-05-15,Delhi,Cochin,07:05:00,22:30:00,925,1.0,No Info,9646
Jet Airways,2019-03-12,Banglore,New Delhi,22:55:00,07:40:00,525,1.0,In-flight meal not included,11087
Indigo,2019-04-01,Banglore,Delhi,01:30:00,04:15:00,165,0.0,No Info,4423
Jet Airways,2019-05-24,Kolkata,Banglore,20:00:00,23:35:00,1655,1.0,In-flight meal not included,10844
Jet Airways,2019-03-24,Banglore,New Delhi,02:00:00,04:45:00,165,0.0,No Info,7229
Indigo,2019-03-18,Kolkata,Banglore,20:25:00,23:05:00,160,0.0,No Info,4462
Jet Airways,2019-04-09,Delhi,Cochin,23:05:00,19:00:00,1195,2.0,No Info,9483
Multiple Carriers,2019-06-15,Delhi,Cochin,08:45:00,19:00:00,615,1.0,No Info,11789
Jet Airways,2019-06-24,Banglore,Delhi,11:10:00,14:05:00,175,0.0,In-flight meal not included,5769
Spicejet,2019-06-24,Delhi,Cochin,08:45:00,13:15:00,270,1.0,No Info,4812
Jet Airways,2019-05-06,Kolkata,Banglore,14:05:00,19:50:00,345,1.0,In-flight meal not included,10844
Multiple Carriers,2019-05-18,Delhi,Cochin,06:00:00,12:35:00,395,1.0,No Info,9794
Multiple Carriers,2019-06-06,Delhi,Cochin,08:00:00,19:15:00,675,1.0,No Info,14848
Vistara,2019-05-01,Kolkata,Banglore,17:00:00,10:45:00,1065,1.0,No Info,9187
Vistara,2019-03-06,Mumbai,Hyderabad,11:55:00,09:25:00,1290,1.0,No Info,12395
Air India,2019-03-06,Delhi,Cochin,08:00:00,19:15:00,675,1.0,No Info,15284
Jet Airways,2019-05-09,Delhi,Cochin,05:30:00,19:00:00,810,2.0,No Info,15129
Multiple Carriers,2019-05-27,Delhi,Cochin,12:50:00,01:30:00,760,1.0,No Info,6795
Multiple Carriers,2019-05-09,Delhi,Cochin,11:30:00,21:00:00,570,1.0,No Info,13727
Indigo,2019-06-15,Kolkata,Banglore,20:25:00,23:10:00,165,0.0,No Info,4804
Multiple Carriers,2019-05-27,Delhi,Cochin,08:00:00,21:00:00,780,1.0,No Info,7618
Jet Airways,2019-06-06,Kolkata,Banglore,09:35:00,21:05:00,690,1.0,In-flight meal not included,13469
Indigo,2019-03-03,Banglore,New Delhi,04:00:00,06:50:00,170,0.0,No Info,6144
Indigo,2019-04-15,Banglore,Delhi,08:30:00,11:20:00,170,0.0,No Info,4823
Jet Airways,2019-05-09,Mumbai,Hyderabad,02:55:00,04:20:00,85,0.0,No Info,5678
Jet Airways,2019-05-21,Delhi,Cochin,09:00:00,12:35:00,1655,1.0,In-flight meal not included,12898
Air India,2019-06-03,Delhi,Cochin,13:20:00,07:40:00,1100,2.0,No Info,11911
Air India,2019-04-21,Banglore,Delhi,10:00:00,12:45:00,165,0.0,No Info,5228
Multiple Carriers,2019-06-06,Delhi,Cochin,14:00:00,01:30:00,690,1.0,No Info,13377
Indigo,2019-05-15,Delhi,Cochin,11:25:00,01:30:00,845,1.0,No Info,6979
Air Asia,2019-06-24,Delhi,Cochin,20:45:00,06:35:00,590,1.0,No Info,6152
Multiple Carriers,2019-03-27,Delhi,Cochin,07:05:00,13:20:00,375,1.0,No Info,12537
Jet Airways,2019-06-09,Kolkata,Banglore,20:25:00,23:35:00,1630,1.0,No Info,12692
Air India,2019-03-27,Delhi,Cochin,16:40:00,19:15:00,1595,2.0,No Info,8656
Jet Airways,2019-05-06,Kolkata,Banglore,06:30:00,18:15:00,705,1.0,No Info,14781
Air India,2019-03-06,Delhi,Cochin,07:00:00,19:15:00,735,1.0,No Info,15809
Indigo,2019-03-09,Delhi,Cochin,05:05:00,10:05:00,300,1.0,No Info,8147
Air India,2019-04-06,Delhi,Cochin,06:10:00,23:00:00,1010,1.0,No Info,5022
Jet Airways,2019-06-12,Banglore,Delhi,06:00:00,08:45:00,165,0.0,No Info,8016
Spicejet,2019-04-21,Banglore,Delhi,05:55:00,08:35:00,160,0.0,No check-in baggage included,4319
Jet Airways,2019-06-15,Delhi,Cochin,17:30:00,19:00:00,1530,1.0,In-flight meal not included,10262
Multiple Carriers,2019-05-15,Delhi,Cochin,13:00:00,21:00:00,480,1.0,No Info,8073
Jet Airways,2019-04-03,Banglore,Delhi,08:20:00,11:20:00,180,0.0,No Info,7229
Air India,2019-05-09,Delhi,Cochin,18:45:00,19:15:00,1470,2.0,No Info,11942
Jet Airways,2019-05-24,Kolkata,Banglore,20:25:00,10:55:00,870,1.0,No Info,13067
Jet Airways,2019-05-21,Kolkata,Banglore,20:00:00,12:00:00,960,1.0,No Info,14781
Jet Airways,2019-05-18,Kolkata,Banglore,08:25:00,08:15:00,1430,1.0,In-flight meal not included,9663
Jet Airways,2019-03-06,Delhi,Cochin,19:10:00,19:45:00,1475,2.0,No Info,21954
Spicejet,2019-04-24,Kolkata,Banglore,09:00:00,11:25:00,145,0.0,No Info,4174
Jet Airways,2019-04-03,Delhi,Cochin,02:15:00,19:00:00,1005,1.0,In-flight meal not included,4757
Goair,2019-03-03,Banglore,New Delhi,07:45:00,10:40:00,175,0.0,No Info,7222
Multiple Carriers,2019-06-24,Delhi,Cochin,07:30:00,19:15:00,705,1.0,No Info,9001
Indigo,2019-06-01,Banglore,Delhi,21:15:00,00:15:00,180,0.0,No Info,3943
Jet Airways,2019-06-24,Delhi,Cochin,21:25:00,12:35:00,910,2.0,No Info,12609
Air India,2019-05-12,Banglore,Delhi,10:00:00,12:45:00,165,0.0,No Info,5228
Indigo,2019-04-06,Delhi,Cochin,06:50:00,12:10:00,320,1.0,No Info,5298
Jet Airways,2019-03-24,Kolkata,Banglore,18:55:00,18:10:00,1395,1.0,No Info,14231
Indigo,2019-04-03,Mumbai,Hyderabad,16:55:00,18:25:00,90,0.0,No Info,3175
Jet Airways,2019-03-27,Delhi,Cochin,15:05:00,04:25:00,800,1.0,No Info,12242
Multiple Carriers,2019-03-21,Delhi,Cochin,10:45:00,19:15:00,510,1.0,No Info,7154
Jet Airways,2019-06-12,Delhi,Cochin,09:00:00,19:00:00,600,1.0,No Info,14714
Jet Airways,2019-03-09,Delhi,Cochin,15:55:00,04:25:00,750,2.0,No Info,19172
Indigo,2019-06-06,Chennai,Kolkata,22:05:00,00:25:00,140,0.0,No Info,5277
Jet Airways,2019-05-18,Delhi,Cochin,02:15:00,19:00:00,1005,1.0,In-flight meal not included,12373
Jet Airways,2019-05-15,Delhi,Cochin,02:15:00,12:35:00,620,1.0,In-flight meal not included,12373
Jet Airways,2019-05-06,Kolkata,Banglore,09:35:00,19:10:00,575,1.0,No Info,13067
Jet Airways,2019-06-12,Kolkata,Banglore,16:30:00,12:00:00,1170,1.0,In-flight meal not included,8529
Indigo,2019-06-24,Delhi,Cochin,08:30:00,21:00:00,750,1.0,No Info,6093
Vistara,2019-03-06,Mumbai,Hyderabad,10:25:00,22:55:00,750,1.0,No Info,12395
Spicejet,2019-06-12,Delhi,Cochin,17:55:00,22:50:00,295,1.0,No Info,4957
Jet Airways,2019-03-09,Delhi,Cochin,19:15:00,04:25:00,550,1.0,In-flight meal not included,14053
Air India,2019-04-01,Kolkata,Banglore,09:50:00,23:15:00,805,2.0,No Info,12125
Spicejet,2019-05-01,Mumbai,Hyderabad,13:15:00,14:45:00,90,0.0,No Info,2437
Goair,2019-05-06,Banglore,Delhi,11:40:00,14:30:00,170,0.0,No Info,3398
Air India,2019-06-03,Delhi,Cochin,19:45:00,19:15:00,1410,2.0,No Info,10441
Air India,2019-03-01,Banglore,New Delhi,17:00:00,12:15:00,1155,1.0,No Info,10246
Indigo,2019-05-03,Kolkata,Banglore,21:25:00,00:05:00,160,0.0,No Info,4804
Multiple Carriers,2019-05-15,Delhi,Cochin,11:35:00,21:00:00,565,3.0,No Info,16294
Indigo,2019-03-06,Delhi,Cochin,07:30:00,21:00:00,810,1.0,No Info,14871
Indigo,2019-06-21,Banglore,Delhi,13:00:00,15:50:00,170,0.0,No Info,3943
Air Asia,2019-06-15,Delhi,Cochin,20:45:00,07:10:00,625,1.0,No Info,6253
Jet Airways,2019-05-27,Delhi,Cochin,07:05:00,04:25:00,1280,1.0,In-flight meal not included,12898
Vistara,2019-06-09,Banglore,Delhi,17:00:00,19:35:00,155,0.0,No Info,4878
Jet Airways,2019-03-06,Delhi,Cochin,09:55:00,04:25:00,1110,1.0,No Info,15764
Air India,2019-03-09,Banglore,New Delhi,05:50:00,22:45:00,1015,1.0,No Info,10657
Jet Airways,2019-05-12,Kolkata,Banglore,20:00:00,09:20:00,800,1.0,No Info,14388
Jet Airways,2019-03-27,Delhi,Cochin,09:00:00,18:50:00,590,1.0,In-flight meal not included,5963
Indigo,2019-03-21,Delhi,Cochin,07:35:00,22:20:00,885,1.0,No Info,6558
Jet Airways,2019-05-21,Delhi,Cochin,20:55:00,19:00:00,1325,1.0,No Info,16079
Jet Airways,2019-05-12,Kolkata,Banglore,16:30:00,22:35:00,365,1.0,No Info,14781
